广州市	美食	22382
广州市	甜品饮品	3109
广州市	果蔬生鲜	752
广州市	商超便利	1293
珠海市	美食	1049
珠海市	果蔬生鲜	72
珠海市	商超便利	25
珠海市	甜品饮品	129
佛山市	美食	9112
佛山市	甜品饮品	1368
佛山市	商超便利	534
佛山市	果蔬生鲜	398
中山市	美食	1802
中山市	甜品饮品	169
中山市	商超便利	70
中山市	果蔬生鲜	50
东莞市	美食	5091
东莞市	甜品饮品	842
东莞市	果蔬生鲜	201
东莞市	商超便利	312
深圳市	美食	19528
深圳市	甜品饮品	3513
深圳市	果蔬生鲜	928
深圳市	商超便利	1317
眉山市	美食	310
眉山市	甜品饮品	35
眉山市	商超便利	20
眉山市	果蔬生鲜	9
太原市	美食	526
太原市	甜品饮品	46
太原市	果蔬生鲜	11
太原市	商超便利	6
北京市	美食	63510
北京市	商超便利	3556
北京市	甜品饮品	7640
北京市	果蔬生鲜	2577
郴州市	美食	1073
郴州市	商超便利	34
郴州市	甜品饮品	50
郴州市	果蔬生鲜	11
衢州市	美食	167
衢州市	甜品饮品	30
杭州市	美食	21946
杭州市	甜品饮品	2903
杭州市	果蔬生鲜	1329
杭州市	商超便利	1236
福州市	美食	1682
福州市	商超便利	215
福州市	甜品饮品	258
福州市	果蔬生鲜	100
潍坊市	美食	854
潍坊市	甜品饮品	231
潍坊市	果蔬生鲜	107
潍坊市	商超便利	95
桂林市	美食	33
桂林市	商超便利	13
桂林市	果蔬生鲜	1
南宁市	美食	1120
南宁市	果蔬生鲜	68
南宁市	甜品饮品	122
南宁市	商超便利	28
肇庆市	美食	937
肇庆市	甜品饮品	71
肇庆市	果蔬生鲜	20
肇庆市	商超便利	10
唐山市	美食	1425
唐山市	甜品饮品	166
唐山市	商超便利	33
唐山市	果蔬生鲜	51
成都市	美食	23253
成都市	商超便利	1143
成都市	甜品饮品	3169
成都市	果蔬生鲜	842
株洲市	美食	227
株洲市	商超便利	10
株洲市	甜品饮品	62
株洲市	果蔬生鲜	2
黄石市	美食	157
黄石市	商超便利	12
黄石市	甜品饮品	30
黄石市	果蔬生鲜	9
鞍山市	美食	1559
鞍山市	甜品饮品	56
鞍山市	商超便利	17
鞍山市	果蔬生鲜	38
荆州市	美食	198
荆州市	甜品饮品	28
荆州市	果蔬生鲜	19
荆州市	商超便利	27
攀枝花市	美食	128
攀枝花市	商超便利	5
攀枝花市	甜品饮品	23
攀枝花市	果蔬生鲜	16
